
time,qw,qx,qy,qz,roll,pitch,yaw,hfbx,hfby,hfbz,ax,ay,az,hgx,hgy,hgz
0.674101,0.071868,-0.997258,0.023300,0.003647,-171.772110,0.608645,-2.633693,0.004969,-0.003002,0.000374,-0.016388,-0.154480,-1.022659,-0.004899,-0.069764,-0.495086
0.684128,0.073593,-0.997128,0.023346,0.004181,-171.575424,0.674614,-2.633409,0.006583,-0.008388,0.001143,-0.027954,-0.158478,-1.002136,-0.005311,-0.071586,-0.494822
0.694155,0.075180,-0.997008,0.023346,0.004654,-171.394363,0.732849,-2.628282,0.009875,-0.010873,0.001494,-0.033646,-0.165665,-0.983551,-0.005887,-0.073284,-0.494567
0.704182,0.076706,-0.996891,0.023239,0.005234,-171.220428,0.802179,-2.609893,0.013918,-0.013123,0.001807,-0.039001,-0.175858,-0.976791,-0.006395,-0.074846,-0.494326
0.714209,0.078110,-0.996781,0.023056,0.006210,-171.061462,0.915767,-2.579135,0.017522,-0.015033,0.002075,-0.043839,-0.185043,-0.970596,-0.007000,-0.076346,-0.494089
0.724237,0.079315,-0.996685,0.022812,0.007217,-170.925201,1.031696,-2.541019,0.019007,-0.011314,0.001473,-0.038422,-0.191040,-0.971680,-0.007991,-0.077715,-0.493860
0.734264,0.080140,-0.996619,0.022537,0.007980,-170.831924,1.118433,-2.501845,0.017403,-0.003475,0.000238,-0.024979,-0.192398,-0.982986,-0.009003,-0.078887,-0.493657
0.744291,0.080841,-0.996561,0.022369,0.008636,-170.752701,1.193564,-2.475812,0.017249,0.001599,-0.000599,-0.016281,-0.194778,-0.988266,-0.009760,-0.079689,-0.493514
0.754318,0.081497,-0.996505,0.022324,0.009048,-170.678146,1.241826,-2.465989,0.017920,0.004401,-0.001095,-0.011871,-0.197525,-0.988007,-0.010415,-0.080369,-0.493390
0.764345,0.082138,-0.996449,0.022431,0.009079,-170.604645,1.247908,-2.477124,0.017679,0.007188,-0.001569,-0.007034,-0.198639,-0.989365,-0.010836,-0.081010,-0.493276
0.774372,0.082778,-0.996392,0.022690,0.008911,-170.531021,1.232772,-2.507515,0.016019,0.008200,-0.001711,-0.005112,-0.197754,-0.995483,-0.010889,-0.081643,-0.493171
0.784400,0.083222,-0.996346,0.023026,0.008972,-170.480545,1.244071,-2.544782,0.011104,0.004752,-0.001035,-0.012054,-0.190475,-1.003662,-0.010757,-0.082278,-0.493068
0.794427,0.083404,-0.996320,0.023498,0.008987,-170.460251,1.250776,-2.598431,0.004366,0.004825,-0.000906,-0.012177,-0.178085,-1.007477,-0.010856,-0.082711,-0.492994
0.804454,0.083283,-0.996317,0.024018,0.009079,-170.475021,1.265869,-2.657027,-0.002507,0.004611,-0.000720,-0.012741,-0.163940,-1.005844,-0.010914,-0.082886,-0.492963
