sample,float_qw,float_qx,float_qy,float_qz,vp_qw,vp_qx,vp_qy,vp_qz,q_l2_error,float_roll,float_pitch,float_yaw,vp_roll,vp_pitch,vp_yaw,err_roll,err_pitch,err_yaw
96,0.52709669,-0.59518319,-0.40226710,-0.45441461,0.52678287,-0.59470832,-0.40233442,-0.45377564,0.000858,-96.9942,-74.7936,-0.0426,-96.7846,-74.4965,0.0998,0.2096,0.2971,0.1424
97,0.58811778,-0.54533631,-0.43815100,-0.40639138,0.58775151,-0.54482377,-0.43826097,-0.40570819,0.000936,-85.7378,-73.4575,-0.0266,-85.5455,-73.1874,0.1277,0.1923,0.2701,0.1543
98,0.64006388,-0.49668357,-0.46337450,-0.35962614,0.63961691,-0.49616757,-0.46349156,-0.35893363,0.000979,-75.6887,-71.8822,-0.0122,-75.5201,-71.6401,0.1427,0.1686,0.2422,0.1549
99,0.68111843,-0.45218837,-0.48006621,-0.31871441,0.68060935,-0.45166874,-0.48018387,-0.31801540,0.001016,-67.2282,-70.4247,-0.0007,-67.0782,-70.2050,0.1497,0.1499,0.2196,0.1504
100,0.70860767,-0.41233727,-0.49509844,-0.28807667,0.70816267,-0.41181791,-0.49526268,-0.28734526,0.001015,-60.4307,-69.9227,0.0047,-60.3148,-69.7383,0.1567,0.1158,0.1844,0.1520
101,0.72030395,-0.38873929,-0.50577909,-0.27293199,0.71991009,-0.38813859,-0.50594199,-0.27210408,0.001108,-56.7524,-70.1911,0.0075,-56.6281,-70.0002,0.1635,0.1243,0.1909,0.1560
102,0.71307379,-0.39589331,-0.50608689,-0.28094822,0.71278960,-0.39516503,-0.50627553,-0.28000063,0.001243,-58.1208,-70.7703,0.0068,-57.9697,-70.5666,0.1667,0.1511,0.2037,0.1599
103,0.69332469,-0.42896041,-0.49262029,-0.30477247,0.69317722,-0.42809534,-0.49287602,-0.30372858,0.001388,-63.5339,-70.8324,0.0029,-63.3462,-70.6220,0.1600,0.1877,0.2104,0.1571
104,0.66875666,-0.48492712,-0.45644665,-0.33099350,0.66866106,-0.48402464,-0.45676786,-0.33000916,0.001377,-71.9341,-68.6728,-0.0034,-71.7303,-68.4833,0.1327,0.2037,0.1895,0.1361
105,0.68224978,-0.52647209,-0.40189642,-0.31014538,0.68197328,-0.52573961,-0.40210980,-0.30937949,0.001116,-75.3512,-61.0394,-0.0022,-75.1899,-60.8988,0.0984,0.1613,0.1406,0.1006
106,0.72239155,-0.52477157,-0.36471334,-0.26494029,0.72197372,-0.52409333,-0.36486316,-0.26424021,0.001071,-72.0328,-53.6101,0.0001,-71.8928,-53.4961,0.0864,0.1400,0.1140,0.0863
107,0.76191938,-0.51358229,-0.32777724,-0.22091842,0.76139116,-0.51293039,-0.32789135,-0.22026053,0.001072,-68.0073,-46.5854,0.0031,-67.8793,-46.4908,0.0801,0.1279,0.0946,0.0770
108,0.79263520,-0.50903511,-0.28315052,-0.18179801,0.79201645,-0.50839567,-0.28325430,-0.18118405,0.001086,-65.4607,-39.3424,0.0050,-65.3398,-39.2652,0.0747,0.1208,0.0772,0.0697
109,0.81358010,-0.51344234,-0.23185802,-0.14627138,0.81288195,-0.51281136,-0.23197398,-0.14570570,0.001104,-64.5548,-31.8349,0.0057,-64.4385,-31.7743,0.0698,0.1162,0.0607,0.0641
110,0.81355256,-0.52906364,-0.20277329,-0.13186966,0.81301033,-0.52850610,-0.20304736,-0.13136166,0.000969,-66.0896,-27.9998,-0.0004,-65.9974,-27.9701,0.0666,0.0922,0.0297,0.0670
111,0.80540222,-0.55245280,-0.17769405,-0.12189636,0.80487603,-0.55182588,-0.17804061,-0.12143704,0.001000,-68.9132,-24.8923,-0.0010,-68.8117,-24.8741,0.0639,0.1015,0.0182,0.0649
112,0.79203022,-0.57805753,-0.15924904,-0.11624515,0.79154968,-0.57734334,-0.15964860,-0.11581945,0.001040,-72.2666,-22.7464,-0.0018,-72.1528,-22.7353,0.0615,0.1138,0.0111,0.0633
113,0.80097765,-0.57293469,-0.14210564,-0.10166467,0.80047590,-0.57222331,-0.14254087,-0.10127255,0.001049,-71.1717,-20.1294,-0.0017,-71.0585,-20.1270,0.0609,0.1132,0.0024,0.0626
114,0.81466681,-0.55769539,-0.13216481,-0.09048995,0.81412065,-0.55702227,-0.13261327,-0.09011298,0.001046,-68.8088,-18.4376,-0.0014,-68.7008,-18.4403,0.0611,0.1080,0.0027,0.0625
115,0.82478338,-0.54728067,-0.11922783,-0.07911338,0.82425308,-0.54666901,-0.11969046,-0.07876867,0.000994,-67.1463,-16.4554,-0.0000,-67.0481,-16.4651,0.0604,0.0982,0.0097,0.0605
116,0.82758641,-0.54907137,-0.09822439,-0.06517058,0.82704568,-0.54846030,-0.09872727,-0.06486413,0.001006,-67.1403,-13.5412,-0.0002,-67.0413,-13.5595,0.0592,0.0990,0.0183,0.0595
117,0.82499778,-0.55859178,-0.07243404,-0.04904998,0.82445365,-0.55796838,-0.07299952,-0.04880068,0.001033,-68.2186,-10.0387,-0.0006,-68.1164,-10.0686,0.0579,0.1022,0.0299,0.0585
118,0.81871074,-0.57158041,-0.04733428,-0.03305711,0.81817442,-0.57093620,-0.04796474,-0.03286991,0.001065,-69.8589,-6.6207,-0.0010,-69.7520,-6.6625,0.0567,0.1069,0.0418,0.0577
119,0.80698913,-0.59000593,-0.02569298,-0.01880164,0.80647707,-0.58932483,-0.02638189,-0.01867777,0.001103,-72.3618,-3.6496,-0.0016,-72.2477,-3.7020,0.0556,0.1140,0.0524,0.0572
120,0.78818309,-0.61525697,-0.01759216,-0.01373534,0.78775942,-0.61454368,-0.01828936,-0.01365972,0.001086,-75.9664,-2.5581,-0.0003,-75.8484,-2.6138,0.0550,0.1181,0.0557,0.0552
121,0.77123743,-0.63614118,-0.02192153,-0.01808802,0.77086312,-0.63535994,-0.02259523,-0.01800963,0.001100,-79.0501,-3.2577,-0.0006,-78.9229,-3.3090,0.0543,0.1273,0.0513,0.0549
122,0.75766689,-0.65126854,-0.03473261,-0.02986604,0.75733203,-0.65042764,-0.03536537,-0.02975771,0.001110,-81.3803,-5.2518,-0.0009,-81.2456,-5.2946,0.0536,0.1347,0.0428,0.0546
123,0.74859554,-0.65932214,-0.05425396,-0.04780044,0.74828029,-0.65843785,-0.05484003,-0.04764345,0.001118,-82.7625,-8.2944,-0.0014,-82.6228,-8.3264,0.0531,0.1397,0.0319,0.0545
124,0.75005114,-0.65398490,-0.07565099,-0.06598381,0.74972081,-0.65308976,-0.07619025,-0.06576920,0.001117,-82.1917,-11.5246,-0.0019,-82.0511,-11.5457,0.0527,0.1406,0.0211,0.0546
125,0.75479430,-0.64379770,-0.09646550,-0.08228068,0.75447977,-0.64293784,-0.09694952,-0.08202130,0.001068,-80.9402,-14.5703,-0.0001,-80.8055,-14.5818,0.0532,0.1347,0.0115,0.0533
